english,french
Hello,Bonjour
How are you?,Comment ça va ?
What is your name?,Comment vous appelez-vous ?
I am happy today.,Je suis heureux aujourd'hui.
The sky is blue.,Le ciel est bleu.
I love programming.,J'adore programmer.
This is an interesting project.,C'est un projet intéressant.
Can you help me?,Pouvez-vous m'aider ?
Where is the nearest hospital?,Où se trouve l'hôpital le plus proche ?
Do you speak French?,Parlez-vous français ?
Good morning!,Bon matin !
Good night!,Bonne nuit !
What time is it?,Quelle heure est-il ?
I need some water.,J'ai besoin d'eau.
My favorite color is blue.,Ma couleur préférée est le bleu.
The book is on the table.,Le livre est sur la table.
She is reading a novel.,Elle lit un roman.
They are playing soccer.,Ils jouent au football.
The weather is nice today.,Il fait beau aujourd'hui.
How old are you?,Quel âge avez-vous ?
Where do you live?,Où habitez-vous ?
I live in Paris.,J'habite à Paris.
I enjoy traveling.,J'aime voyager.
Learning is fun.,"Apprendre, c'est amusant."
Do you understand?,Comprenez-vous ?
Please speak slowly.,Veuillez parler lentement.
What is the capital of France?,Quelle est la capitale de la France ?
I am a student.,Je suis étudiant.
She is a teacher.,Elle est enseignante.
He is a doctor.,Il est médecin.
Can you recommend a good restaurant?,Pouvez-vous recommander un bon restaurant ?
This food is delicious.,Cette nourriture est délicieuse.
I am very tired.,Je suis très fatigué.
I like to play chess.,J'aime jouer aux échecs.
Where is the train station?,Où est la gare ?
The movie was fantastic.,Le film était fantastique.
I love to dance.,J'aime danser.
What is your hobby?,Quel est votre passe-temps ?
I am learning French.,J'apprends le français.
The cat is sleeping.,Le chat dort.
I am going to the park.,Je vais au parc.
Do you like coffee?,Aimez-vous le café ?
She is very kind.,Elle est très gentille.
This is a beautiful painting.,C'est une belle peinture.
The children are playing.,Les enfants jouent.
It is raining today.,Il pleut aujourd'hui.
The sun is shining.,Le soleil brille.
What is your favorite sport?,Quel est votre sport préféré ?
I like reading books.,J'aime lire des livres.
Can you play the guitar?,Savez-vous jouer de la guitare ?
Where can I find a taxi?,Où puis-je trouver un taxi ?
I want to buy some fruits.,Je veux acheter des fruits.
Do you like chocolate?,Aimez-vous le chocolat ?
What is your favorite movie?,Quel est votre film préféré ?
I am feeling sick.,Je me sens malade.
He is very talented.,Il est très talentueux.
Can you fix this?,Pouvez-vous réparer ça ?
The phone is ringing.,Le téléphone sonne.
I enjoy listening to music.,J'aime écouter de la musique.
The flowers are blooming.,Les fleurs fleurissent.
Where are you going?,Où allez-vous ?
Can I borrow your pen?,Puis-je emprunter votre stylo ?
I am very busy today.,Je suis très occupé aujourd'hui.
This place is crowded.,Cet endroit est bondé.
He is an excellent singer.,Il est un excellent chanteur.
The car is very fast.,La voiture est très rapide.
I need to make a call.,J'ai besoin de passer un appel.
What is your favorite subject?,Quelle est votre matière préférée ?
Do you like swimming?,Aimez-vous nager ?
My birthday is coming soon.,Mon anniversaire approche.
The pizza is cold.,La pizza est froide.
Can you show me the way?,Pouvez-vous me montrer le chemin ?
I have a headache.,J'ai mal à la tête.
This chair is very comfortable.,Cette chaise est très confortable.
I need a break.,J'ai besoin d'une pause.
Do you have a map?,Avez-vous une carte ?
How much does this cost?,Combien cela coûte-t-il ?
I love playing video games.,J'adore jouer aux jeux vidéo.
I am hungry.,J'ai faim.
Can I help you?,Puis-je vous aider ?
This road leads to the beach.,Cette route mène à la plage.
I am going to the gym.,Je vais à la salle de sport.
Do you need assistance?,Avez-vous besoin d'aide ?
I would like some ice cream.,Je voudrais de la glace.
She is my best friend.,Elle est ma meilleure amie.
The dog is barking.,Le chien aboie.
This is a simple question.,C'est une question simple.
Is this your phone?,Est-ce votre téléphone ?
Please take a seat.,Veuillez prendre un siège.
I am reading a book.,Je lis un livre.
What are you doing?,Que faites-vous ?
The coffee is too hot.,Le café est trop chaud.
I am feeling better now.,Je me sens mieux maintenant.
This is my house.,C'est ma maison.
How many languages do you speak?,Combien de langues parlez-vous ?
This is my favorite song.,C'est ma chanson préférée.
Do you like sushi?,Aimez-vous les sushis ?
The movie starts at 7 PM.,Le film commence à 19 h.
We are going to the beach tomorrow.,Nous allons à la plage demain.
The hotel is very luxurious.,L'hôtel est très luxueux.
She has long hair.,Elle a de longs cheveux.
He is wearing a blue shirt.,Il porte une chemise bleue.
I enjoy hiking.,J'aime faire de la randonnée.
This is a great restaurant.,C'est un excellent restaurant.
I like to cook.,J'aime cuisiner.
This is a famous museum.,C'est un musée célèbre.
I want to learn Spanish.,Je veux apprendre l'espagnol.
Where is the nearest supermarket?,Où est le supermarché le plus proche ?
What is your favorite book?,Quel est votre livre préféré ?
I will visit you soon.,Je viendrai vous rendre visite bientôt.
How do you feel?,Comment vous sentez-vous ?
I like this painting.,J'aime cette peinture.
It is very cold today.,Il fait très froid aujourd'hui.
Can you speak louder?,Pouvez-vous parler plus fort ?
I have a question.,J'ai une question.
Please open the window.,Veuillez ouvrir la fenêtre.
Where is the airport?,Où est l'aéroport ?
The coffee is delicious.,Le café est délicieux.
I am looking for my keys.,Je cherche mes clés.
Do you like running?,Aimez-vous courir ?
I enjoy going to the cinema.,J'aime aller au cinéma.
This hotel has a swimming pool.,Cet hôtel a une piscine.
Can you help me with this task?,Pouvez-vous m'aider avec cette tâche ?
I am studying for my exams.,J'étudie pour mes examens.
I like your shirt.,J'aime votre chemise.
The weather is great.,Le temps est agréable.
Where is the library?,Où est la bibliothèque ?
Can you write this down?,Pouvez-vous l'écrire ?
I have a meeting in the afternoon.,J'ai une réunion dans l'après-midi.
This is an easy task.,C'est une tâche facile.
It is very late now.,Il est très tard maintenant.
I am going to bed.,Je vais me coucher.
What do you think about this?,Que pensez-vous de cela ?
She is my sister.,Elle est ma sœur.
I am learning programming.,J'apprends la programmation.
It’s a good idea.,C'est une bonne idée.
Can I ask you something?,Puis-je vous demander quelque chose ?
Where is the bus stop?,Où est l'arrêt de bus ?
I don’t feel well today.,Je ne me sens pas bien aujourd'hui.
The cake is delicious.,Le gâteau est délicieux.
She is wearing a red dress.,Elle porte une robe rouge.
I want to buy a new phone.,Je veux acheter un nouveau téléphone.
This is my favorite place.,C'est mon endroit préféré.
Can I have a glass of water?,Puis-je avoir un verre d'eau ?
This place is quiet.,Cet endroit est calme.
It’s a great day to go outside.,C'est une belle journée pour sortir.
I enjoy spending time with my family.,J'aime passer du temps avec ma famille.
Can you give me directions?,Pouvez-vous me donner des indications ?
I don’t like this movie.,Je n'aime pas ce film.
What is your favorite food?,Quel est votre plat préféré ?
I am waiting for my friend.,J'attends mon ami.
This is a difficult problem.,C'est un problème difficile.
I am excited for the weekend.,Je suis excité pour le week-end.
Do you like this song?,Aimez-vous cette chanson ?
Where can I park?,Où puis-je me garer ?
It’s raining heavily.,Il pleut fortement.
I need a taxi.,J'ai besoin d'un taxi.
Let’s go shopping.,Allons faire du shopping.
Where do you work?,Où travaillez-vous ?
I like to travel the world.,J'aime voyager dans le monde.
She is very talented in painting.,Elle est très talentueuse en peinture.
It is a nice view from here.,C'est une belle vue d'ici.
What is the time?,Quelle heure est-il ?
I am feeling very sleepy.,Je suis très fatigué.
I will call you later.,Je vous appellerai plus tard.
This is my favorite restaurant.,C'est mon restaurant préféré.
How far is the beach?,Quelle est la distance jusqu'à la plage ?
I want to buy a new car.,Je veux acheter une nouvelle voiture.
Can you help me find this place?,Pouvez-vous m'aider à trouver cet endroit ?
What is your favorite color?,Quelle est votre couleur préférée ?
I will visit France next year.,Je vais visiter la France l'année prochaine.
My mother is very kind.,Ma mère est très gentille.
The sky is clear today.,Le ciel est clair aujourd'hui.
It’s a nice day for a walk.,C'est une belle journée pour une promenade.
Where is your hometown?,D'où venez-vous ?
Where is the nearest pharmacy?,J'adore l'odeur du pain frais.
I am looking for a job.,C'est une musique très relaxante.
Can you speak Spanish?,Pouvez-vous recommander un bon livre ?
This is a very old building.,Je veux partir en vacances.
The concert was amazing.,Où est la pharmacie la plus proche ?
I will call you later.,Je cherche un emploi.
She is wearing a black dress.,Parlez-vous espagnol ?
I like to drink tea.,C'est un bâtiment très vieux.
He is very good at math.,Le concert était incroyable.
This is a difficult decision.,Je t'appellerai plus tard.
What are you studying?,Elle porte une robe noire.
I am going to the supermarket.,J'aime boire du thé.
I need to buy some groceries.,Il est très bon en mathématiques.
My father is a teacher.,C'est une décision difficile.
I love to go hiking in the mountains.,Qu'étudiez-vous ?
Where is the nearest park?,Je vais au supermarché.
I like to take photos.,J'ai besoin d'acheter des courses.
The museum is closed on Mondays.,Mon père est professeur.
What is your favorite holiday?,J'adore faire de la randonnée dans les montagnes.
I am traveling to Germany next year.,Où est le parc le plus proche ?
Can you give me a ride?,J'aime prendre des photos.
The train is very fast.,Le musée est fermé le lundi.
What did you do yesterday?,Quelle est votre fête préférée ?
I am cooking dinner tonight.,Je vais voyager en Allemagne l'année prochaine.
My brother is an engineer.,Pouvez-vous me donner un trajet ?
She has a beautiful voice.,Le train est très rapide.
I like to spend time with my friends.,Qu'avez-vous fait hier ?
Do you want to go to the movies?,Je prépare le dîner ce soir.
I need to buy a new jacket.,Mon frère est ingénieur.
This city is very crowded.,Elle a une belle voix.
The flight was delayed.,J'aime passer du temps avec mes amis.
It’s very hot outside.,Voulez-vous aller au cinéma ?
I am learning how to play the piano.,J'ai besoin d'acheter une nouvelle veste.
She is a professional dancer.,Cette ville est très bondée.
I need some rest.,Le vol a été retardé.
This chair is too uncomfortable.,Il fait très chaud dehors.
We are going to the mountains for vacation.,J'apprends à jouer du piano.
I don't like this food.,Elle est danseuse professionnelle.
This is my favorite restaurant in the city.,J'ai besoin de repos.
Can you help me with my homework?,Cette chaise est trop inconfortable.
I like reading novels.,Nous allons à la montagne pour les vacances.
She is writing a letter.,Je n'aime pas cette nourriture.
We need to leave now.,C'est mon restaurant préféré en ville.
I want to travel to Japan.,Pouvez-vous m'aider avec mes devoirs ?
"Can I have the bill, please?",J'aime lire des romans.
This is a historical place.,Elle écrit une lettre.
I need to buy a new computer.,Nous devons partir maintenant.
I like swimming in the ocean.,Je veux voyager au Japon.
This is a beautiful sunset.,"Puis-je avoir l'addition, s'il vous plaît ?"
He is always on time.,C'est un endroit historique.
I enjoy gardening.,J'ai besoin d'acheter un nouvel ordinateur.
I’m planning a trip to Italy.,J'aime nager dans l'océan.
The hotel room is very comfortable.,C'est un beau coucher de soleil.
Do you like cooking?,Il est toujours à l'heure.
Where can I buy tickets?,J'adore jardiner.
I don’t like crowded places.,Je planifie un voyage en Italie.
The restaurant is very popular.,La chambre d'hôtel est très confortable.
I want to learn to dance salsa.,Aimez-vous cuisiner ?
He is an excellent cook.,Où puis-je acheter des billets ?
I am reading a science fiction novel.,Je n'aime pas les endroits bondés.
We should leave early to avoid traffic.,Le restaurant est très populaire.
Can you open the window?,Je veux apprendre à danser la salsa.
It’s time to go to bed.,Il est un excellent cuisinier.
This is a beautiful song.,Je lis un roman de science-fiction.
I love to watch documentaries.,Nous devrions partir tôt pour éviter le trafic.
I am going to the library.,Pouvez-vous ouvrir la fenêtre ?
I like to watch movies on weekends.,Il est temps d'aller au lit.
I am planning a surprise party.,C'est une belle chanson.
The pizza is very hot.,J'adore regarder des documentaires.
I enjoy doing yoga.,Je vais à la bibliothèque.
The beach is very crowded today.,J'aime regarder des films le week-end.
Can you take a photo of us?,Je prépare une fête surprise.
I am learning how to cook.,La pizza est très chaude.
We are going to the zoo tomorrow.,J'adore faire du yoga.
Do you like playing basketball?,La plage est très bondée aujourd'hui.
I am going to meet my friend later.,Pouvez-vous prendre une photo de nous ?
She likes to paint landscapes.,J'apprends à cuisiner.
Can I help you with that?,Nous allons au zoo demain.
We are having a party tonight.,Aimez-vous jouer au basket ?
I don’t have any plans for the weekend.,Je vais rencontrer mon ami plus tard.
The bus is late today.,Elle aime peindre des paysages.
She is a very kind person.,Puis-je vous aider avec cela ?
Where is the nearest shopping mall?,Nous organisons une fête ce soir.
I love the smell of fresh coffee.,Je n'ai pas de projets pour le week-end.
My father is a lawyer.,Le bus est en retard aujourd'hui.
We are going to visit my grandparents this weekend.,Elle est une personne très gentille.
I like to watch action movies.,Où est le centre commercial le plus proche ?
The house is very big.,J'adore l'odeur du café fraîchement préparé.
We are having a barbecue tonight.,Mon père est avocat.
The kids are playing outside.,Nous allons rendre visite à mes grands-parents ce week-end.
I like hiking in the mountains.,J'aime regarder des films d'action.
This is my favorite coffee shop.,La maison est très grande.
Where can I buy a SIM card?,Nous organisons un barbecue ce soir.
She is studying engineering.,Les enfants jouent dehors.
He is a famous artist.,J'aime faire de la randonnée dans les montagnes.
I don’t like waiting in line.,C'est mon café préféré.
I need to find a new apartment.,Où puis-je acheter une carte SIM ?
The weather is perfect for a walk.,Elle étudie l'ingénierie.
She is cooking lunch right now.,Il est un artiste célèbre.
I like to read history books.,Je n'aime pas attendre dans les files d'attente.
Where is the nearest bus station?,Je dois trouver un nouvel appartement.
I am going to the park to relax.,Il fait beau pour une promenade.
This is my favorite restaurant in town.,Elle prépare le déjeuner en ce moment.
She loves traveling around the world.,J'aime lire des livres d'histoire.
I want to learn to speak Italian.,Où est la station de bus la plus proche ?
He is an architect.,Je vais au parc pour me détendre.
We are going to a wedding next week.,C'est mon restaurant préféré en ville.
The restaurant is located near the beach.,Elle aime voyager autour du monde.
I am going to the market to buy some fruits.,Je veux apprendre à parler italien.
This room is very spacious.,Il est architecte.
Can you tell me the way to the airport?,Nous allons à un mariage la semaine prochaine.
I like to play video games in my free time.,Le restaurant est près de la plage.
I am watching a great TV show.,Je vais au marché acheter des fruits.
She is studying law at the university.,Cette chambre est très spacieuse.
The coffee shop is just around the corner.,Pouvez-vous me dire le chemin pour aller à l'aéroport ?
I want to go on a road trip.,J'aime jouer aux jeux vidéo pendant mon temps libre.
This is a beautiful place.,Je regarde une excellente émission télé.
I’m very tired after the long day.,Elle étudie le droit à l'université.
I like visiting museums.,Le café est juste au coin de la rue.
Do you want to go hiking with me?,Je veux partir en road trip.
I’m looking for a new job.,C'est un endroit magnifique.
She loves spending time with her friends.,Je suis très fatigué après cette longue journée.
I like to go shopping on weekends.,J'aime visiter les musées.
Can you recommend a good hotel?,Voulez-vous aller faire de la randonnée avec moi ?
I am going to visit my aunt in the countryside.,Je cherche un nouvel emploi.
We need to clean the house today.,Elle aime passer du temps avec ses amis.
I like to eat healthy food.,J'aime faire du shopping le week-end.
She is always very busy.,Pouvez-vous recommander un bon hôtel ?
The weather is great for a walk.,Je vais rendre visite à ma tante à la campagne.
We are going to a concert tonight.,Nous devons nettoyer la maison aujourd'hui.
I need to buy some new clothes.,J'aime manger des aliments sains.
I love reading fiction books.,Elle est toujours très occupée.
I want to visit a new country.,Le temps est parfait pour une promenade.
Where can I find a good restaurant?,Nous allons à un concert ce soir.
This hotel has a beautiful view of the city.,J'ai besoin d'acheter des vêtements neufs.
I like spending time at the beach.,J'adore lire des livres de fiction.
I need a new phone.,Je veux visiter un nouveau pays.
She is going to visit her parents this weekend.,Où puis-je trouver un bon restaurant ?
He is working on a new project.,Cet hôtel a une belle vue sur la ville.
"Can I get a coffee, please?",J'aime passer du temps à la plage.
I want to travel to the United States.,J'ai besoin d'un nouveau téléphone.
We should try that new restaurant.,Elle va rendre visite à ses parents ce week-end.
I love to read detective stories.,Il travaille sur un nouveau projet.
Do you like classical music?,"Puis-je avoir un café, s'il vous plaît ?"
We should meet at the cafe later.,Je veux voyager aux États-Unis.
I have been studying for the exam all day.,Nous devrions essayer ce nouveau restaurant.
This is a wonderful painting.,J'adore lire des histoires de détectives.
I love spending time with my family.,Aimes-tu la musique classique ?
I am looking forward to the holiday.,Nous devrions nous rencontrer au café plus tard.
The meeting was very productive.,J'étudie pour l'examen toute la journée.
I need a break from work.,C'est une peinture merveilleuse.
Do you know the time?,J'adore passer du temps avec ma famille.
I enjoy going for a run in the morning.,J'attends avec impatience les vacances.
The new movie is very exciting.,La réunion a été très productive.
She is practicing yoga every day.,J'ai besoin d'une pause du travail.
